order_id,order_date,region,channel,sku,units,revenue_cny
SO-100089,2025-07-04,North,direct,VE-1000,5,1825.00
SO-100090,2025-07-04,West,partner,VE-2000,1,427.50
SO-100091,2025-07-04,South,online,VE-1000,1,365.00
SO-100092,2025-07-04,North,direct,VE-1000,11,3814.25
SO-100093,2025-07-04,North,partner,VE-2000,7,3150.00
SO-100094,2025-07-04,South,online,VE-1000,9,3285.00
SO-100095,2025-07-04,East,direct,VE-2000,6,2700.00
SO-100096,2025-07-04,West,online,VE-1000,10,3650.00
SO-100097,2025-07-04,West,partner,VE-1000,6,2190.00
SO-100098,2025-07-04,West,direct,VE-1000,10,3650.00
SO-100099,2025-07-04,East,direct,VE-3000,4,7960.00
SO-100100,2025-07-04,South,direct,VE-2000,3,1282.50
SO-100101,2025-07-04,South,partner,VE-2000,4,1800.00
SO-100102,2025-07-05,South,direct,VE-2000,15,6412.50
SO-100103,2025-07-05,South,direct,VE-2000,1,405.00
SO-100104,2025-07-05,North,partner,VE-1000,17,6205.00
SO-100105,2025-07-05,East,partner,VE-1000,17,5584.50
SO-100106,2025-07-05,South,direct,VE-1000,3,1095.00
SO-100107,2025-07-05,East,partner,VE-2000,6,2565.00
SO-100108,2025-07-05,North,online,VE-3000,4,7960.00
SO-100109,2025-07-05,North,direct,VE-1000,7,2427.25
SO-100110,2025-07-05,West,partner,VE-3000,9,17014.50
SO-100111,2025-07-05,East,direct,VE-1000,5,1825.00
SO-100112,2025-07-05,West,online,VE-2000,23,9315.00
SO-100113,2025-07-05,North,partner,VE-1000,4,1460.00
SO-100114,2025-07-05,West,partner,VE-3000,4,7960.00
SO-100115,2025-07-05,East,direct,VE-1000,1,365.00
SO-100116,2025-07-05,East,partner,VE-2000,1,450.00
SO-100117,2025-07-05,North,partner,VE-1000,8,2774.00
SO-100118,2025-07-05,West,partner,VE-2000,7,3150.00
SO-100119,2025-07-05,North,partner,VE-1000,1,365.00
SO-100120,2025-07-05,West,online,VE-1000,1,365.00
SO-100121,2025-07-05,South,direct,VE-1000,9,3285.00
SO-100122,2025-07-05,South,direct,VE-1000,15,5201.25
SO-100123,2025-07-05,West,direct,VE-3000,15,26865.00
SO-100124,2025-07-05,East,partner,VE-1000,8,2920.00
SO-100125,2025-07-05,North,online,VE-1000,22,7227.00
SO-100126,2025-07-05,North,partner,VE-1000,7,2555.00
SO-100127,2025-07-05,South,direct,VE-2000,13,5850.00
SO-100128,2025-07-05,East,online,VE-1000,9,3285.00
SO-100129,2025-07-05,North,partner,VE-1000,5,1825.00
SO-100130,2025-07-05,North,direct,VE-1000,10,3650.00
SO-100131,2025-07-05,East,online,VE-1000,12,4380.00
SO-100132,2025-07-06,South,direct,VE-2000,11,4702.50
SO-100133,2025-07-06,North,online,VE-1000,9,3120.75
SO-100134,2025-07-06,West,partner,VE-1000,14,4599.00
SO-100135,2025-07-06,South,online,VE-1000,1,328.50
SO-100136,2025-07-06,East,partner,VE-3000,12,23880.00
SO-100137,2025-07-06,South,online,VE-2000,9,4050.00
SO-100138,2025-07-06,South,direct,VE-1000,10,3650.00
SO-100139,2025-07-06,East,partner,VE-2000,1,450.00
SO-100140,2025-07-06,East,direct,VE-1000,5,1825.00
SO-100141,2025-07-06,West,direct,VE-1000,4,1460.00
SO-100142,2025-07-06,East,partner,VE-1000,6,2190.00
SO-100143,2025-07-06,East,partner,VE-1000,1,346.75
SO-100144,2025-07-06,South,direct,VE-1000,16,5256.00
SO-100145,2025-07-06,West,direct,VE-1000,9,3285.00
SO-100146,2025-07-06,East,online,VE-1000,11,3814.25
SO-100147,2025-07-06,South,direct,VE-1000,14,5110.00
SO-100148,2025-07-06,South,partner,VE-1000,6,1971.00
SO-100149,2025-07-06,South,partner,VE-1000,5,1733.75
SO-100150,2025-07-06,West,partner,VE-3000,1,1990.00
SO-100151,2025-07-06,North,partner,VE-3000,6,10746.00
SO-100152,2025-07-06,East,direct,VE-2000,16,6480.00
SO-100153,2025-07-06,East,online,VE-2000,5,2025.00
SO-100154,2025-07-06,South,partner,VE-1000,9,2956.50
SO-100155,2025-07-06,East,partner,VE-2000,3,1215.00
SO-100156,2025-07-07,North,direct,VE-1000,5,1825.00
SO-100157,2025-07-07,West,online,VE-2000,12,5400.00
SO-100158,2025-07-07,East,partner,VE-3000,11,21890.00
SO-100159,2025-07-07,South,direct,VE-1000,18,6570.00
SO-100160,2025-07-07,East,direct,VE-3000,16,31840.00
SO-100161,2025-07-07,South,partner,VE-1000,5,1825.00
SO-100162,2025-07-07,West,partner,VE-1000,1,328.50
SO-100163,2025-07-07,South,online,VE-1000,9,2956.50
SO-100164,2025-07-07,South,direct,VE-2000,15,6750.00
SO-100165,2025-07-07,South,partner,VE-1000,1,365.00
SO-100166,2025-07-07,South,partner,VE-1000,6,1971.00
SO-100167,2025-07-07,South,direct,VE-1000,11,3613.50
SO-100168,2025-07-07,South,direct,VE-3000,5,9950.00
SO-100169,2025-07-07,North,partner,VE-1000,20,7300.00
SO-100170,2025-07-07,South,online,VE-3000,5,9950.00
SO-100171,2025-07-07,East,direct,VE-2000,9,3645.00
SO-100172,2025-07-07,North,direct,VE-1000,14,5110.00
SO-100173,2025-07-07,North,direct,VE-2000,17,6885.00
SO-100174,2025-07-07,South,online,VE-1000,2,730.00
SO-100175,2025-07-07,West,direct,VE-2000,16,7200.00
SO-100176,2025-07-07,East,direct,VE-1000,1,365.00
SO-100177,2025-07-07,West,direct,VE-2000,1,450.00
SO-100178,2025-07-07,West,direct,VE-3000,12,22686.00
SO-100179,2025-07-07,East,direct,VE-2000,4,1800.00
SO-100180,2025-07-07,North,direct,VE-2000,3,1215.00
SO-100181,2025-07-07,East,online,VE-3000,9,17910.00
SO-100182,2025-07-07,North,direct,VE-2000,9,4050.00
SO-100183,2025-07-07,South,direct,VE-2000,8,3240.00
SO-100184,2025-07-07,South,partner,VE-1000,10,3467.50
SO-100185,2025-07-07,North,online,VE-1000,12,4380.00
SO-100186,2025-07-08,West,partner,VE-1000,20,7300.00
SO-100187,2025-07-08,South,online,VE-1000,2,730.00
SO-100188,2025-07-08,East,online,VE-1000,20,6570.00
SO-100189,2025-07-08,East,partner,VE-2000,1,427.50
SO-100190,2025-07-08,South,online,VE-3000,11,19701.00
SO-100191,2025-07-08,North,partner,VE-1000,18,6570.00
SO-100192,2025-07-08,West,direct,VE-3000,5,9950.00
SO-100193,2025-07-08,South,online,VE-3000,1,1890.50
SO-100194,2025-07-08,North,online,VE-2000,17,7267.50
SO-100195,2025-07-08,North,online,VE-3000,13,24576.50
SO-100196,2025-07-08,South,partner,VE-2000,4,1800.00
SO-100197,2025-07-08,North,partner,VE-2000,14,5670.00
SO-100198,2025-07-08,West,online,VE-3000,14,26467.00
SO-100199,2025-07-08,North,direct,VE-3000,5,9452.50
SO-100200,2025-07-08,North,direct,VE-1000,4,1460.00
SO-100201,2025-07-08,East,partner,VE-1000,9,3285.00
SO-100202,2025-07-08,West,partner,VE-3000,3,5970.00
SO-100203,2025-07-08,North,direct,VE-1000,19,6935.00
SO-100204,2025-07-08,East,online,VE-2000,1,405.00
SO-100205,2025-07-08,South,online,VE-2000,12,4860.00
SO-100206,2025-07-08,West,partner,VE-1000,1,365.00
SO-100207,2025-07-08,South,partner,VE-3000,6,10746.00
SO-100208,2025-07-08,West,direct,VE-2000,1,450.00
SO-100209,2025-07-08,South,partner,VE-1000,7,2555.00
SO-100210,2025-07-08,East,direct,VE-2000,1,450.00
SO-100211,2025-07-08,East,online,VE-1000,10,"3,650.00"
SO-100212,2025-07-08,South,direct,VE-1000,4,1460.00
SO-100213,2025-07-08,South,online,VE-1000,11,3814.25
SO-100214,2025-07-08,South,partner,VE-2000,17,7650.00
SO-100215,2025-07-08,North,direct,VE-1000,8,2628.00
SO-100216,2025-07-08,North,partner,VE-2000,1,405.00
SO-100217,2025-07-08,South,online,VE-1000,2,730.00
SO-100218,2025-07-08,South,partner,VE-3000,11,19701.00
SO-100219,2025-07-08,East,online,VE-1000,18,6570.00
SO-100220,2025-07-08,South,online,VE-2000,11,4455.00
SO-100221,2025-07-09,South,online,VE-1000,7,2555.00
SO-100222,2025-07-09,North,partner,VE-1000,11,3814.25
SO-100223,2025-07-09,South,direct,VE-3000,7,13930.00
SO-100224,2025-07-09,South,online,VE-2000,13,5557.50
SO-100225,2025-07-09,North,partner,VE-1000,5,1733.75
SO-100226,2025-07-09,East,direct,VE-1000,15,5475.00
SO-100227,2025-07-09,South,direct,VE-2000,6,"2,430.00"
SO-100228,2025-07-09,North,partner,VE-1000,4,1387.00
SO-100229,2025-07-09,West,online,VE-2000,1,427.50
SO-100230,2025-07-09,North,direct,VE-2000,4,1710.00
SO-100231,2025-07-09,East,online,VE-2000,4,1800.00
SO-100232,2025-07-09,East,online,VE-2000,10,4050.00
SO-100233,2025-07-09,West,online,VE-2000,19,8122.50
SO-100234,2025-07-09,North,partner,VE-1000,8,2920.00
SO-100235,2025-07-09,East,online,VE-1000,17,6205.00
SO-100236,2025-07-09,East,direct,VE-2000,16,7200.00
SO-100237,2025-07-09,North,direct,VE-2000,7,"3,150.00"
SO-100238,2025-07-09,South,partner,VE-2000,7,2992.50
SO-100239,2025-07-09,South,direct,VE-1000,1,365.00
SO-100240,2025-07-09,East,direct,VE-3000,5,9950.00
SO-100241,07/09/2025,South,online,VE-2000,1,405.00
SO-100242,2025-07-09,South,online,VE-2000,4,1710.00
SO-100243,2025-07-10,South,direct,VE-2000,9,4050.00
SO-100244,2025-07-10,South,partner,VE-2000,9,3847.50
SO-100245,2025-07-10,East,online,VE-1000,8,2628.00
SO-100246,2025-07-10,South,online,VE-2000,8,3600.00
SO-100247,2025-07-10,East,direct,VE-1000,5,1825.00
SO-100248,2025-07-10,East,online,VE-2000,17,6885.00
SO-100249,2025-07-10,East,online,VE-2000,2,900.00
SO-100250,2025-07-10,North,partner,VE-1000,4,1460.00
SO-100251,2025-07-10,North,online,VE-3000,8,15920.00
SO-100252,2025-07-10,North,direct,VE-1000,16,5840.00
SO-100253,2025-07-10,South,direct,VE-2000,18,8100.00
SO-100254,2025-07-10,North,partner,VE-2000,9,4050.00
SO-100255,2025-07-10,West,partner,VE-1000,4,1460.00
SO-100256,2025-07-10,East,partner,VE-2000,3,1350.00
SO-100257,2025-07-10,North,online,VE-1000,9,3285.00
SO-100258,2025-07-10,East,online,VE-1000,7,2555.00
SO-100259,2025-07-10,North,direct,VE-1000,10,3467.50
SO-100260,2025-07-10,South,direct,VE-1000,5,1642.50
SO-100261,2025-07-10,North,direct,VE-1000,21,7665.00
SO-100262,2025-07-10,East,partner,VE-1000,8,2920.00
SO-100263,2025-07-10,East,partner,VE-1000,6,2190.00
SO-100264,2025-07-10,West,online,VE-2000,9,4050.00
SO-100265,2025-07-10,West,direct,VE-1000,8,"2,920.00"
SO-100266,2025-07-10,East,online,VE-1000,15,5475.00
SO-100267,2025-07-10,South,online,VE-1000,11,4015.00
SO-100268,2025-07-10,North,partner,VE-2000,10,4050.00
SO-100269,2025-07-10,North,partner,VE-2000,14,5985.00
SO-100270,2025-07-10,West,online,VE-2000,1,450.00
SO-100271,2025-07-10,East,partner,VE-1000,18,6570.00
SO-100272,2025-07-10,West,online,VE-2000,20,9000.00
SO-100273,2025-07-10,North,partner,VE-1000,2,657.00
SO-100274,2025-07-10,West,partner,VE-1000,15,5475.00
SO-100275,2025-07-10,North,direct,VE-3000,5,8955.00
SO-100276,2025-07-11,South,partner,VE-1000,1,365.00
SO-100277,2025-07-11,West,partner,VE-3000,11,21890.00
SO-100278,2025-07-11,North,online,VE-1000,10,3650.00
SO-100279,2025-07-11,West,online,VE-1000,1,365.00
SO-100280,2025-07-11,North,online,VE-1000,10,3650.00
SO-100281,2025-07-11,North,online,VE-2000,1,405.00
SO-100282,2025-07-11,West,direct,VE-3000,12,23880.00
SO-100283,2025-07-11,South,partner,VE-1000,13,4270.50
SO-100284,2025-07-11,West,partner,VE-2000,14,6300.00
SO-100285,2025-07-11,East,direct,VE-2000,3,1350.00
SO-100286,2025-07-11,West,partner,VE-2000,4,1800.00
SO-100287,2025-07-11,East,direct,VE-2000,2,810.00
SO-100288,2025-07-11,South,direct,VE-1000,11,4015.00
SO-100289,2025-07-11,South,partner,VE-2000,1,450.00
SO-100290,2025-07-11,West,online,VE-3000,8,"15,124.00"
SO-100291,2025-07-11,North,partner,VE-1000,9,2956.50
SO-100292,2025-07-11,South,partner,VE-1000,1,365.00
SO-100293,2025-07-11,North,direct,VE-1000,7,2427.25
SO-100294,2025-07-11,West,direct,VE-2000,7,2835.00
SO-100295,2025-07-11,West,online,VE-2000,11,4702.50
SO-100296,2025-07-11,North,direct,VE-3000,14,26467.00
SO-100297,2025-07-11,West,online,VE-1000,1,365.00
SO-100298,2025-07-11,East,direct,VE-2000,12,5400.00
SO-100299,2025-07-11,West,partner,VE-1000,7,2427.25
SO-100300,2025-07-11,North,partner,VE-2000,2,810.00
SO-100301,2025-07-11,West,online,VE-1000,1,328.50
SO-100302,2025-07-11,North,partner,VE-2000,10,4500.00
SO-100303,07/11/2025,South,partner,VE-2000,16,6480.00
SO-100304,2025-07-11,North,direct,VE-2000,5,2250.00
SO-100305,2025-07-11,South,direct,VE-2000,1,427.50
SO-100306,2025-07-11,South,partner,VE-3000,9,16119.00
SO-100307,2025-07-11,North,partner,VE-1000,7,2299.50
SO-100308,2025-07-11,East,online,VE-1000,1,365.00
SO-100309,2025-07-11,East,online,VE-1000,11,3613.50
SO-100310,2025-07-11,East,partner,VE-2000,10,4500.00
SO-100311,2025-07-12,North,partner,VE-1000,5,1733.75
SO-100312,2025-07-12,East,online,VE-2000,5,2250.00
SO-100313,2025-07-12,North,partner,VE-2000,13,5557.50
SO-100314,2025-07-12,West,online,VE-2000,14,6300.00
SO-100315,2025-07-12,North,direct,VE-1000,13,4507.75
SO-100316,2025-07-12,North,direct,VE-1000,9,3120.75
SO-100317,2025-07-12,South,partner,VE-3000,10,19900.00
SO-100318,2025-07-12,South,online,VE-2000,21,9450.00
SO-100319,2025-07-12,North,direct,VE-3000,1,1990.00
SO-100320,2025-07-12,East,direct,VE-1000,25,9125.00
SO-100321,2025-07-12,West,direct,VE-1000,7,2427.25
SO-100322,2025-07-12,East,partner,VE-1000,10,3467.50
SO-100323,2025-07-12,West,partner,VE-1000,11,3613.50
SO-100324,2025-07-12,West,direct,VE-2000,5,2137.50
SO-100325,2025-07-12,South,online,VE-3000,16,28656.00
SO-100326,2025-07-12,North,online,VE-2000,1,405.00
SO-100327,2025-07-12,South,direct,VE-1000,8,2920.00
SO-100328,2025-07-12,West,online,VE-2000,15,6412.50
SO-100329,2025-07-12,South,online,VE-2000,11,4455.00
SO-100330,2025-07-12,North,online,VE-3000,2,3980.00
SO-100331,2025-07-12,South,online,VE-1000,6,2190.00
SO-100332,2025-07-12,South,direct,VE-2000,20,9000.00
SO-100333,2025-07-12,West,direct,VE-3000,5,9950.00
SO-100334,2025-07-12,South,direct,VE-1000,7,2555.00
SO-100335,2025-07-12,North,online,VE-1000,16,5548.00
SO-100336,2025-07-12,South,online,VE-2000,6,2700.00
SO-100337,2025-07-13,South,online,VE-3000,14,27860.00
SO-100338,2025-07-13,south,online,VE-1000,1,365.00
SO-100339,2025-07-13,East,partner,VE-1000,10,"3,650.00"
SO-100340,2025-07-13,North,online,VE-1000,7,2427.25
SO-100341,2025-07-13,East,online,VE-1000,6,2190.00
SO-100342,2025-07-13,West,online,VE-2000,8,3240.00
SO-100343,2025-07-13,South,direct,VE-1000,12,4380.00
SO-100344,2025-07-13,North,online,VE-1000,11,3613.50
SO-100345,2025-07-13,West,direct,VE-3000,17,33830.00
SO-100346,2025-07-13,North,online,VE-3000,10,19900.00
SO-100347,2025-07-13,North,online,VE-2000,11,4950.00
SO-100348,2025-07-13,South,partner,VE-1000,14,5110.00
SO-100349,2025-07-13,North,partner,VE-1000,19,6241.50
SO-100350,2025-07-13,North,direct,VE-2000,3,1282.50
SO-100351,2025-07-13,East,direct,VE-2000,12,5400.00
SO-100352,2025-07-13,North,partner,VE-3000,6,10746.00
SO-100353,2025-07-13,North,direct,VE-1000,1,328.50
SO-100354,2025-07-13,North,online,VE-3000,8,15920.00
SO-100355,2025-07-13,West,online,VE-1000,1,365.00
SO-100356,2025-07-13,North,online,VE-1000,15,4927.50
SO-100357,2025-07-13,West,partner,VE-1000,1,365.00
SO-100358,2025-07-13,South,online,VE-1000,2,730.00
SO-100359,2025-07-14,East,direct,VE-3000,10,19900.00
SO-100360,2025-07-14,North,direct,VE-3000,5,9452.50
SO-100361,2025-07-14,North,direct,VE-2000,14,5985.00
SO-100362,2025-07-14,South,online,VE-1000,8,2920.00
SO-100363,2025-07-14,South,online,VE-1000,7,2427.25
SO-100364,2025-07-14,North,direct,VE-2000,5,2025.00
SO-100365,2025-07-14,North,online,VE-2000,10,4275.00
SO-100366,2025-07-14,South,partner,VE-2000,6,2565.00
SO-100367,2025-07-14,East,direct,VE-2000,12,5400.00
SO-100368,2025-07-14,West,direct,VE-2000,4,1800.00
SO-100369,2025-07-14,East,direct,VE-1000,4,1314.00
SO-100370,2025-07-14,North,partner,VE-1000,1,328.50
SO-100371,2025-07-14,South,direct,VE-1000,4,1460.00
SO-100372,2025-07-14,South,online,VE-1000,3,1095.00
SO-100373,2025-07-14,West,direct,VE-2000,9,3645.00
SO-100374,2025-07-14,West,partner,VE-1000,4,1460.00
SO-100375,2025-07-14,North,direct,VE-1000,8,2920.00
SO-100376,2025-07-14,North,direct,VE-2000,10,4500.00
SO-100377,2025-07-14,West,direct,VE-2000,10,4050.00
SO-100378,2025-07-14,North,online,VE-3000,9,16119.00
SO-100379,2025-07-14,North,partner,VE-1000,7,2555.00
SO-100380,2025-07-14,East,direct,VE-2000,10,4050.00
SO-100381,2025-07-14,South,direct,VE-3000,6,11343.00
SO-100382,2025-07-14,North,online,VE-1000,1,346.75
SO-100383,2025-07-14,West,partner,VE-2000,6,2700.00
SO-100384,2025-07-14,North,online,VE-1000,18,6241.50
SO-100385,2025-07-14,East,online,VE-1000,13,4745.00
SO-100386,2025-07-14,East,direct,VE-1000,4,1387.00
SO-100387,2025-07-15,South,partner,VE-3000,5,9950.00
SO-100388,2025-07-15,North,partner,VE-3000,9,16119.00
SO-100389,2025-07-15,West,partner,VE-3000,9,16119.00
SO-100390,2025-07-15,West,partner,VE-1000,3,1095.00
SO-100391,2025-07-15,North,partner,VE-3000,9,16119.00
SO-100392,2025-07-15,North,partner,VE-1000,7,2555.00
SO-100393,2025-07-15,East,online,VE-3000,10,18905.00
SO-100394,2025-07-15,West,direct,VE-1000,12,"4,380.00"
SO-100395,2025-07-15,West,direct,VE-3000,15,29850.00
SO-100396,2025-07-15,North,direct,VE-3000,14,27860.00
SO-100397,2025-07-15,South,partner,VE-1000,1,365.00
SO-100398,2025-07-15,North,partner,VE-2000,8,3600.00
SO-100399,2025-07-15,East,partner,VE-1000,8,2920.00
SO-100400,2025-07-15,East,partner,VE-3000,3,5671.50
SO-100401,2025-07-15,West,online,VE-1000,2,730.00
SO-100402,2025-07-15,North,online,VE-2000,16,7200.00
SO-100403,2025-07-15,North,direct,VE-2000,8,3600.00
SO-100404,2025-07-15,South,direct,VE-3000,16,31840.00
SO-100405,2025-07-15,West,partner,VE-1000,9,3285.00
SO-100406,2025-07-15,West,direct,VE-1000,11,4015.00
SO-100407,2025-07-15,West,partner,VE-2000,1,405.00
SO-100408,2025-07-15,East,partner,VE-2000,7,2835.00
SO-100409,2025-07-15,East,online,VE-1000,19,6588.25
SO-100410,2025-07-15,East,direct,VE-1000,17,6205.00
SO-100411,2025-07-15,North,online,VE-3000,2,3980.00
SO-100412,2025-07-15,East,partner,VE-3000,5,8955.00
SO-100413,2025-07-15,West,direct,VE-3000,13,25870.00
SO-100414,2025-07-16,South,partner,VE-3000,19,34029.00
SO-100415,2025-07-16,East,online,VE-2000,7,2992.50
SO-100416,2025-07-16,South,direct,VE-1000,11,4015.00
SO-100417,2025-07-16,East,partner,VE-1000,11,4015.00
SO-100418,2025-07-16,South,direct,VE-1000,16,5840.00
SO-100419,2025-07-16,North,online,VE-1000,17,6205.00
SO-100420,2025-07-16,North,direct,VE-1000,12,4380.00
SO-100421,2025-07-16,West,partner,VE-1000,11,4015.00
SO-100422,2025-07-16,North,direct,VE-1000,8,2774.00
SO-100423,2025-07-16,East,partner,VE-1000,7,2427.25
SO-100424,2025-07-16,East,partner,VE-2000,5,2250.00
SO-100425,2025-07-16,North,online,VE-1000,9,2956.50
SO-100426,2025-07-16,North,partner,VE-1000,10,3650.00
SO-100427,2025-07-16,North,partner,VE-3000,1,1791.00
SO-100428,2025-07-16,East,direct,VE-2000,11,4950.00
SO-100429,2025-07-16,North,direct,VE-1000,1,328.50
SO-100430,2025-07-16,South,online,VE-1000,20,7300.00
SO-100431,2025-07-16,South,direct,VE-2000,8,3600.00
SO-100432,2025-07-16,North,online,VE-3000,4,7562.00
SO-100433,2025-07-16,South,partner,VE-1000,8,2920.00
SO-100434,2025-07-16,East,partner,VE-2000,11,4950.00
SO-100435,2025-07-16,North,direct,VE-2000,16,7200.00
SO-100436,2025-07-16,West,partner,VE-1000,17,6205.00
SO-100437,2025-07-16,West,partner,VE-2000,5,2250.00
SO-100438,2025-07-16,South,partner,VE-1000,13,4745.00
SO-100439,2025-07-16,West,partner,VE-1000,12,4380.00
SO-100440,2025-07-16,South,partner,VE-1000,13,4507.75
SO-100441,2025-07-17,West,partner,VE-2000,1,405.00
SO-100442,2025-07-17,East,online,VE-1000,20,7300.00
SO-100443,2025-07-17,South,direct,VE-1000,6,2190.00
SO-100444,2025-07-17,North,online,VE-1000,19,6241.50
SO-100445,2025-07-17,East,online,VE-2000,17,7650.00
SO-100446,2025-07-17,South,online,VE-2000,6,2700.00
SO-100447,2025-07-17,North,partner,VE-3000,1,1990.00
SO-100448,07/17/2025,North,partner,VE-1000,8,2920.00
SO-100449,2025-07-17,North,online,VE-3000,12,21492.00
SO-100450,2025-07-17,North,partner,VE-2000,5,2137.50
SO-100451,2025-07-17,South,online,VE-2000,9,4050.00
SO-100452,2025-07-17,West,online,VE-2000,7,3150.00
SO-100453,2025-07-17,North,partner,VE-1000,14,5110.00
SO-100454,2025-07-17,South,partner,VE-1000,15,5475.00
SO-100455,2025-07-17,West,partner,VE-1000,7,2299.50
SO-100456,2025-07-17,East,direct,VE-1000,8,2920.00
